Date,Price,Open,High,Low,Change %
"Jul 20, 2012",1583.63,1582.01,1587.91,1574.04,0.0010
"Jul 19, 2012",1582.05,1573.89,1593.00,1573.64,0.0052
"Jul 18, 2012",1573.80,1584.29,1587.16,1568.84,-0.0057
"Jul 17, 2012",1582.75,1591.19,1600.50,1572.66,-0.0042
"Jul 16, 2012",1589.35,1591.39,1595.30,1578.79,0.0002
"Jul 13, 2012",1589.05,1571.20,1597.11,1566.25,0.0106
"Jul 12, 2012",1572.40,1576.85,1578.36,1554.95,-0.0029
"Jul 11, 2012",1576.90,1565.41,1583.41,1565.41,0.0066
"Jul 10, 2012",1566.50,1591.16,1602.90,1565.89,-0.0130
"Jul 09, 2012",1587.15,1580.84,1593.30,1576.39,0.0027
"Jul 06, 2012",1582.90,1604.95,1610.00,1576.70,-0.0136
"Jul 05, 2012",1604.75,1617.34,1625.80,1598.89,-0.0067
"Jul 04, 2012",1615.63,1617.24,1620.59,1611.94,-0.0006
"Jul 03, 2012",1616.65,1598.69,1626.70,1596.59,0.0127
"Jul 02, 2012",1596.35,1599.30,1602.51,1587.45,-0.0014
"Jun 29, 2012",1598.60,1551.39,1607.19,1550.94,0.0301
"Jun 28, 2012",1551.90,1573.61,1579.31,1547.85,-0.0142
"Jun 27, 2012",1574.30,1572.50,1581.91,1563.15,0.0014
"Jun 26, 2012",1572.15,1583.76,1587.31,1567.95,-0.0079
"Jun 25, 2012",1584.60,1572.00,1588.51,1566.35,0.0079
"Jun 22, 2012",1572.15,1564.31,1573.81,1558.80,0.0044
"Jun 21, 2012",1565.30,1605.06,1607.29,1564.49,-0.0253
"Jun 20, 2012",1605.90,1618.81,1623.01,1590.90,-0.0075
"Jun 19, 2012",1618.07,1628.51,1633.51,1617.51,-0.0063
"Jun 18, 2012",1628.40,1627.31,1630.31,1607.10,0.0010
"Jun 15, 2012",1626.76,1622.94,1633.70,1619.59,0.0021
"Jun 14, 2012",1623.32,1617.90,1627.79,1610.00,0.0031
"Jun 13, 2012",1618.35,1609.26,1624.97,1606.20,0.0052
"Jun 12, 2012",1610.05,1596.45,1618.01,1586.90,0.0085
"Jun 11, 2012",1596.45,1593.10,1608.35,1582.89,0.0013
"Jun 08, 2012",1594.45,1589.15,1595.47,1562.05,0.0034
"Jun 07, 2012",1589.00,1620.20,1629.41,1579.75,-0.0194
"Jun 06, 2012",1620.40,1617.20,1641.11,1614.34,0.0020
"Jun 05, 2012",1617.10,1619.25,1623.91,1612.71,-0.0008
"Jun 04, 2012",1618.40,1627.29,1629.69,1610.71,-0.0048
"Jun 01, 2012",1626.25,1560.45,1630.02,1545.30,0.0420
"May 31, 2012",1560.70,1563.90,1574.30,1554.09,-0.0011
"May 30, 2012",1562.45,1554.80,1569.77,1532.10,0.0043
"May 29, 2012",1555.75,1574.10,1582.90,1548.64,-0.0112
